Index ,N1,N2,N3,Desc,SWC,DASP,Rameder,CWE,SCD,Synonyms,DefectType,Qualifier
5.13.1 Stack-based Buffer Overflow,5,13,1,"The EVM keeps an execution stack that manages the execution of contracts. If an attacker is allowed to overflow this stack (e.g., by using specially crafted inputs), it can potentially overwrite control variables (e.g., timestamp or block number) and, for instance, gain unauthorized access to certain resources",-,-,,CWE-121,SCD-49,stack size limit,Checking,"Missing, Wrong"
5.13.2 Write to Arbitrary Storage Location,5,13,2,"In solidity, arrays are stored as contiguous fixed-size slots. In the absence of a bounds verification, a malicious user could write data to a particular storage slot used to store the contract owner's address, which could be overwritten and then used to further harm the contract",SWC-124,-,8E,CWE-123,SCD-22,"arbitrary write, buffer-overwrite, storage modification, unrestrictedwrite, write to arbitrary storage location",Checking,"Missing, Wrong"
5.13.3 Read from Arbitrary Storage Location,5,13,3,"This vulnerability may cause both underflow and overflow issues. Underflow happens when the program accesses a resource in the buffer area, such as an index, before reaching the intended buffer location. On the other hand, overflow occurs when the program accesses a resource in the buffer area, like an index, beyond the intended buffer location",,,,CWE-127,,"buffer-overflow, buffer-underflow",Checking,"Missing, Wrong"
5.14 Use of Malicious Libraries,5,14,0,This defect refers to the use of third-party libraries containing malicious code.,-,-,2E,CWE-829,SCD-63,"external library calling, malicious libraries",Maintenance of Application Dependencies,"Extraneous, Wrong"
5.15 Typographical Error,5,15,0,"This defect refers to single-digit errors made by programmers while typing source code, e.g., in logic or arithmetic operations. For example, for value assignment, a developer may type by mistake += instead of = or may use ? instead of + or ?? instead of ++",SWC-129,-,8B,CWE-480,SCD-75,typographical error,Algorithm/Method,"Extraneous, Missing, Wrong"
5.16 Wrong Logic,5,16,0,"This vulnerability refers to when the developer makes a systematic logic mistake in the contract, leading repeatable executions to unexpected result",-,-,,CWE-840,,logic loopholes,Algorithm/Method,Wrong
5.17 Wrong moment for token generation,5,17,0,"This vulnerability arises when the token generation process within the contract relies solely on the validity of the receiving address. As a result, malicious programmers can exploit this weakness to generate tokens arbitrarily, gaining the ability to manipulate the token price",-,-,,CWE-179,,generate token after ico,Algorithm/Method,Wrong
6 Incorrect Control Flow,6,0,0,"This category groups a set of vulnerabilities that, if exploited, cause changes in the control flow of the program",,,,,,,,
6.1 Incorrect Sequencing of Behavior,6,1,0,"This category gathers vulnerabilities that end up in a sequence of behaviors that are carried out in the wrong order, leading to unexpected results",,,,,,,,
6.1.1 Incorrect Use of Event Blockchain variables for Time,6,1,1,"Contracts that rely on using block control information (i.e., timestamp, coinbase, number, difficulty, and gas limit) for sequential event control are vulnerable to tampering by the miner",SWC-116,DASP-8,2A ,CWE-829,SCD-7,"block dependency, block information dependency, block no. dependency, block number dependency, block state dependence, block state dependency, block values as a proxy for time, blockinfo dependency, blocktimestamp, event-ordering (eo) bugs, race condition, system timestamp, time dependence, time dependency, time-stamp expansion, timedep, timestamp, timestamp dependence, timestamp dependency, timestamp manipulation",Timing/Serialization,Wrong
6.1.2 Incorrect Function Call Order,6,1,2,"This defect refers to the creation of public functions that expect to be called in a certain sequence, originating unanticipated results whenever clients do not follow the right call order",SWC-114,DASP-7,,CWE-362,SCD-8,"concurrency of program, the transaction ordering, transaction order dependence, transaction order dependency, transaction ordering dependence (tod)",Timing/Serialization,Wrong
6.1.3 Improper Locking,6,1,3,"This issue refers to the case where a contract assumes that all entities participating in a transaction must have the same credit balance before the contract operations can execute. If there are no adequate (e.g., wrong or even missing) locking mechanisms, an attacker can forcefully send credit to the other entity, which would cause the verification of the balance condition to never be met. Thus, the contract may become unusable or show unexpected behavior (or unexpected state changes)",SWC-132,-,1C ,CWE-667,SCD-30,"arbitrary sending of ether, balance equality, checking for strict balance equality, incorrectequality, strict check for balance, unexpected ether balance",Timing/Serialization,"Missing, Wrong"
6.1.4 Transfer Pre-Condition Dependent on Transaction Order,6,1,4,"In the case of this vulnerability, the order in which transactions are executed influence a pre- condition that guards the execution of the transfer. This influence may erroneously result in, for instance, a transaction not being executed at all",SWC-114,DASP-7,2B,CWE-364,-,"front running, tod, todtransfer, transaction order dependence",Timing/Serialization,Wrong
6.1.5 Transfer Amount Depending on Transaction Order,6,1,5,This issue refers to the case where the value of the variable that stores or determines an amount of a digital asset (to be transferred) is modified before it is sent to the recipient due to transaction ordering within a block. The amount may be changed due to the effect of multiple transactions being grouped in a block and executed in a specific order having the effect of producing unexpected changes in the value being transferred,SWC-114,DASP-7,,CWE-364,SCD-20,"tod, todamount, transaction order dependence",Timing/Serialization,Wrong
6.1.6 Transfer Recipient Depending on Transaction Order,6,1,6,"In the case of this defect, the transfer recipient is modified before the send event due to transaction ordering within a block. As an example, if the intended recipient address is stored as a storage variable and a transfer is to execute based on this address, there is a chance the address may be changed or overwritten by another transaction prior to the transfer",SWC-114,DASP-7,,CWE-364,SCD-21,"direct value transfer, tod, todreceiver, transaction order dependence, transaction order dependency, transaction-ordering dependence",Timing/Serialization,Wrong
6.1.7 Exposed state variables,6,1,7,"This vulnerability refers to the case where a developer erroneously exposes a state variable, whose value may then be modified by an attacker so that this modification influences the execution of a certain contract operation. As an example, consider a contract that executes a credit transfer from one user to another and has a require statement for verifying that there is sufficient credit to conclude the operation. If the balance is stored as a public state variable, a malicious use could change its value so that the require is avoided allowing the user to run a transfer that exceeds the amount of credit actually held by the malicious user.",-,-,,CWE-200,SCD-78,"reified object addresses, vulnerable state",Assignment/Initialization,Extraneous
6.1.8 Wrong Transaction Definition,6,1,8,"EOSIO facilitates inter-contract communication through the use of inline actions and defer actions. When a smart contract invokes another contract using inline actions, all these actions are bundled together into a single transaction under the control of the caller. In contrast, defer actions will be executed in a separate transaction and cannot be reverted by the caller. In certain situations, attackers might exploit the ability to rollback inline actions, manipulating the blockchain to deny specific transactions. To mitigate such risks, developers can strategically implement defer actions to create a more secure contract execution flow, protecting against rollback attacks",-,-,,CWE-1251,,rollback,Function/Class/Object,Wrong
6.2 Inadequate Input Validation,6,2,0,"This group refers to defects involving the inadequate validation of functional conditions, which are requirements that a contract must meet so that it can operate correctly. Such conditions may offer protection against certain types of attacks or force certain business rules to be followed.",,,,,,,,
6.2.1 Improper Input Validation,6,2,1,"This type of problem occurs when an attacker calls a certain contract operation using invalid or malicious input data, capable of affecting the functioning of the contract due to the fact that either it does not validate the incoming inputs or validates them in an incorrect manner. For instance, in the context of Solidity, a Short Address Attack occurs when a contract receives less data than it was expecting, which leads the system to fill the missing bytes with zeros. As a consequence, the behavior may become unexpected if the code assumes that the input data will comply with a certain length or format.",-,DASP-9,9A,CWE-20,SCD-66,"avoid non-existing address, has_short_address, invalid input data, shift-parameter-mixup, short address attack, short addresses, shortening of address, unchecked input arguments, unchecked tainted staticcall",Checking,"Missing, Wrong"
6.2.2 Extraneous Input Validation,6,2,2,"In this particular case, the functional conditions of the contract are too strong and do not allow certain behaviors (which would be valid) to occur, making the contract unable to meet the requirements.",SWC-123,-,,CWE-573,SCD-74,requirement violation,Checking,Extraneous
7 Arithmetic Issues,7,0,0,This category groups different vulnerabilities that share the outcome of resulting in arithmetic problems,,,,,,,,
7.1 Overflow and Underflow,7,1,0,"This category refers to the use of operations (e.g., addition, subtraction) over values that result in a value that is less than (or greater than) the minimum values (or maximum value) that a variable can hold, which produces a value different from the correct result",,,7A,,,,,
7.1.1 Integer Underflow,7,1,1,This defect refers to operations over an Integer variable that result in a value that is less than the minimum value allowed by the Integer type,SWC-101,DASP-3,,CWE-191,SCD-4,"arithmetic bugs, flow, has_flows, integer underflow vulnerability, integer bug, integer over/underflow, integer overflow, integer overflow and integer underflow, integer overflow and underflow, integer overflow/underflow, integer underflow, multi-transaction sequence vulnerabilities, overflow / underflow, overflow and underflow, overflow/underflow, underflow",Checking,"Missing, Wrong"
7.1.2 Integer Overflow,7,1,2,This defect refers to operations over an Integer variable that results in a value that is larger than the maximum value allowed by the Integer type,SWC-101,DASP-3,,CWE-190,SCD-5,"arithmetic bugs, flow, has_flows, integer bug, integer over/underflow, integer overflow, integer overflow and integer underflow, integer overflow and underflow, integer overflow vulnerability, integer overflow/underflow, integer overflows, overflow, overflow / underflow, overflow and underflow, overflow detector, overflow/underflow",Checking,"Missing, Wrong"
7.2 Division Bugs,7,2,0,This category groups issues related to erroneous division operations,,,7C ,,,,,
7.2.1 Divide by Zero,7,2,1,This issue refers to the attempt of a program to divide a value by zero,SWC-101,DASP-3,,CWE-369,SCD-16,"arithmetic bugs, divide by zero, divide-by-zero, division by zero, division-by-zero, zero division risk",Checking,"Missing, Wrong"
7.2.2 Integer Division,7,2,2,"At the time of writing, a smart contract mainstream language like Solidity does not support floating point or decimal types. Thus, the remainder of a division operation is always lost. Developers may use fixed-point arithmetic and external libraries to handle this kind of operation",SWC-101,DASP-3,7B ,CWE-682,SCD-64,"integer division, numerical precision error",Algorithm/Method,Wrong
7.3 Conversion Bugs,7,3,0,This category groups a set of vulnerabilities where there are issues related to the conversion between different datatypes,,,,,,,,
7.3.1 Truncation Bugs,7,3,1,"This vulnerability refers to the case where a variable declared in a certain type is converted to a smaller type, which means that data is lost during the conversion process",SWC-101,DASP-3,,CWE-197,SCD-52,"integer overflow and underflow, truncation bugs",Assignment/Initialization,Wrong
7.3.2 Signedness Bugs,7,3,2,The conversion of a signed integer type to an unsigned type of the same width may change a negative value to a positive one (the opposite may also happen),SWC-101,DASP-3,,CWE-195,SCD-53,signedness bugs,Assignment/Initialization,Wrong
8 Improper Access Control,8,0,0,This category groups a set of vulnerabilities that are strongly related to authentication or access control,,,,,,,,
8.1 Incorrect Authentication or Authorization,8,1,0,"The smart contract fails to properly identify a client or determine its privileges, resulting in wrong access privileges for that particular client",,,,,,,,
8.1.1 Wrong Caller Identification,8,1,1,"In Solidity, tx.origin allows obtaining the address of the account that initiated a transaction and msg.sender allows obtaining the address of the contract that has called the function being executed. The use of the tx.origin for access control may be a way of opening an entry point to a malicious user. A malicious user may create a contract that calls the vulnerable function (i.e., the one that uses tx.origin to check the identity of the caller). Thus, msg.sender will differ from tx.origin. In the case the vulnerable function uses tx.origin for access control, it will allow the user to perform actions it should not be able to.",SWC-115,DASP-2,6A,CWE-1126,SCD-6,"authorization through tx.origin, incorrect check for authorization, missing access control checks (macc), missing authorization verification, the abuse of tx.origin, transaction origin use, transaction state dependence, tx-origin, tx.origin, txorgin, txorigin, use of tx.origin, using tx.origin for authorization",Checking,Wrong
8.1.2 Owner Manipulation,8,1,2,This vulnerability allows an attacker to exploit some function or feature of the smart contract by manipulating the owner control variable. This allows the attacker to perform some kind of restricted operations,-,-,,CWE-732,SCD-55,"freeze account, missing owner check, taint for owner, tainted owner variable, unprotected function, vulnerable access control",Assignment/Initialization,Wrong
8.1.3 Missing verification for program termination,8,1,3,"This issue refers to the lack of a secure verification for terminating a published (deployed) contract, allowing an attacker to terminate it in an unauthorized manner. Selfdestruct is an EVM instruction that is able to nullify the bytecode of a deployed contract. When invoked, it stops the execution of the EVM, deletes the contract's bytecode, and sends the remaining fund to a certain address. Access to this kind of function by non-authorized clients may result in security issues.",SWC-106,-,6C,CWE-1082,SCD-18,"accessible selfdestruct, destroy token, guard suicide, multi-transaction sequence vulnerabilities, self-destruct abusing, selfdestruct, suicidal contract, suicidal contracts, suicide, tainted selfdestruct, unprotected self-destruct, unprotected selfdestruct instruction, unprotected suicide, unrestrictedselfdestruct",Checking,Missing
8.2 Improper Protection of Sensitive Data,8,2,0,This category generally refers to the issues that result in the inability to protect sensitive information from non-authorized clients,,,,,,,,
8.2.1 Exposed private data,8,2,1,"This issue refers to the cases in which contracts store unencrypted sensitive data in public blockchain transactions. Solidity, like other programming languages, support the private keyword that indicates that data is only accessible within the contract itself. However, in blockchain environments, marking a variable with private does not make it fully invisible to the outside world. Miners, which are responsible for validating transactions on the blockchain, can view the code of the contract and the value of its state variables",SWC-136,-,2D,CWE-767,SCD-48,"exposed secret, private modifier, private-not-hidedata, unencrypted private data on-chain",Algorithm/Method,Wrong
8.2.2 Dependency on External State Data,8,2,2,"This vulnerability refers to the use of data that is not under control nor is generated by the contract (i.e., external critical state data). A malicious user may exploit this situation if such data determines the outcome of the execution of the contract",-,-,,CWE-642,SCD-56,unsolvable constraints,Algorithm/Method,"Extraneous, Wrong"
8.3 Cryptography Misuse,8,3,0,This category groups vulnerabilities that generally reflect misuse of cryptography mechanisms,,,,,,,,
8.3.1 Incorrect Verification of Cryptographic Signature,8,3,1,"This issue refers to the wrong verification of the authenticity and integrity of messages with the use of message signatures. As an example, a developer could develop a vulnerable contract that relies on a signature in a signed message hash for representing the earlier verification of previous messages. A client could generate a malicious message with a valid signature and include it in the hash. The contract then would validate the signature and update the hash, indicating that the message was processed",SWC-117,-,6E,CWE-347,SCD-71,"check signature, missing key check, signature malleability, signature-malleability",Interface/O-O Messages,Wrong
8.3.2 Improper Check against Signature Replay Attacks,8,3,2,This defect refers to a situation where a malicious client is able to obtain the message hash of a legitimate transaction and is allowed to use the same signature to impersonate the legitimate client and execute fraudulent transactions,SWC-121,-,2F,CWE-347,SCD-72,missing protection against signature replay attacks,Checking,"Missing, Wrong"
8.3.3 Improper authenticity check,8,3,3,"In this case, a contract may tolerate off-chain signed messages instead of waiting for an on-chain signature. This is usually done with the goal of improving performance but may come at the expense of compromising the authenticity of the message",SWC-122,-,6B,CWE-345,SCD-73,"lack of proper signature verification, missing signer check",Checking,"Missing, Wrong"
8.3.4 Incorrect Argument Encoding,8,3,4,"This defect refers to the misuse of one-way hash functions (i.e., Solidity keccak256) namely in the incorrect encoding of the function arguments, which can result in a higher likelihood of hash collisions for different entries",SWC-133,DASP-2,,CWE-294,SCD-9,hash collisions with multiple variable length arguments,Algorithm/Method,Wrong
